 HR,Name,ID,#,Ltr,Dbl,Con#,Con,RA,RAm,RAs,,Dec,Dm,Ds,Vmag,B-V,U-B,Sp Type,pmRA,pmD,Distance,RV,Sid Lat,Sid Lon,Zod lon,Zod
7133,,113 Her,113,,,28,Her,18,54,44.9,N,22,38,42,4.59,0.78,0.49,G4III+A6V,0,0.001,250.8,-24,45.2756,110.5049,21,Sgr
714,,Lam Hor,,Lam,,71,Hor,2,24,53.9,S,60,18,43,5.35,0.39,0.06,F2III,-0.068,-0.133,141.7,6,-66.2941,171.5286,22,Aqr
778,,Eta Hor,,Eta,,71,Hor,2,37,24.4,S,52,32,35,5.31,0.27,,A6V,0.1,-0.019,130.4,-3,-62.1655,187.0659,8,Psc
802,,Zet Hor,,Zet,,71,Hor,2,40,39.6,S,54,33,0,5.21,0.4,-0.01,F4IV,0.036,-0.001,105.2,-1,-63.9836,184.9192,5,Psc
810,,Iot Hor,,Iot,,71,Hor,2,42,33.5,S,50,48,1,5.41,0.56,0.1,G0V,0.334,0.222,47.2,16,-61.3318,190.6764,11,Psc
833,,Gam Hor,,Gam,,71,Hor,2,45,27.5,S,63,42,16,5.74,0.93,0.63,G8III-IV,0.022,-0.009,,-11,-70.1953,167.6134,18,Aqr
852,,Nu Hor,,Nu,,71,Hor,2,49,1.5,S,62,48,24,5.26,0.1,0.06,A2V,0.091,0.021,3260,31,-70.0867,170.4461,21,Aqr
868,,R Hor,,R,,71,Hor,2,53,52.9,S,49,53,25,4,2.11,0.43,M7IIIe,0.135,0.014,250.8,60,-61.7197,194.7983,15,Psc
909,,Bet Hor,,Bet,,71,Hor,2,58,47.8,S,64,4,17,4.99,0.13,0.15,A3-5IIIm,0.022,0.001,,24,-71.6621,168.7767,19,Aqr
934,,Mu Hor,,Mu,,71,Hor,3,3,36.8,S,59,44,16,5.11,0.34,-0.03,F0IV,-0.073,-0.067,130.4,17,-69.7838,180.561,1,Psc
1302,,Del Hor,,Del,,71,Hor,4,10,50.6,S,41,59,37,4.93,0.33,0.07,A9V,0.196,0.063,271.7,37,-61.4179,227.3664,18,Ari
1326,,Alp Hor,,Alp,,71,Hor,4,14,0.1,S,42,17,40,3.86,1.1,1,K1III,0.046,-0.209,125.4,22,-61.9106,228.2648,19,Ari
3145,,HR 3145,,,,24,Hya,8,2,15.9,N,2,20,4,4.39,1.25,1.28,K2III,-0.031,0.105,135.8,71,-17.8995,304.6836,5,Cnc
3212,,HR 3212,,,,24,Hya,8,11,33,S,7,46,21,5.36,0.89,0.6,G6III,-0.041,-0.021,271.7,-11,-27.2452,309.6106,10,Cnc
3297,,1 Hya,1,,,24,Hya,8,24,35,S,3,45,4,5.61,0.46,-0.06,F3V,-0.21,-0.024,57.2,72,-22.5632,311.9697,12,Cnc
3314,,C Hya,,C,,24,Hya,8,25,39.6,S,3,54,23,3.9,-0.02,-0.02,A0V,-0.066,-0.023,125.4,10,-22.647,312.2934,13,Cnc
3321,,2 Hya,2,,,24,Hya,8,26,27.2,S,3,59,15,5.59,0.22,0.09,A5III-IV,-0.053,-0.061,116.4,27,-22.6761,312.5229,13,Cnc
3398,,3 Hya,3,,,24,Hya,8,35,28.2,S,7,58,56,5.72,-0.03,-0.01,A1p,-0.02,0.013,,24,-25.9466,316.0579,17,Cnc
3410,,Del Hya,4,Del,,24,Hya,8,37,39.4,N,5,42,13,4.16,0,0.01,A1Vnn,-0.066,-0.007,98.8,11,-12.5974,312.7455,13,Cnc
3418,,Sig Hya,5,Sig,,24,Hya,8,38,45.4,N,3,20,29,4.44,1.21,1.28,K1+III,-0.018,-0.018,93.1,25,-14.8109,313.6506,14,Cnc
3431,,6 Hya,6,,,24,Hya,8,40,1.5,S,12,28,31,4.98,1.42,1.62,K4III,-0.081,-0.002,141.7,-11,-29.9449,318.7213,19,Cnc
3441,,9 Hya,9,,,24,Hya,8,41,43.3,S,15,56,36,4.88,1.06,0.92,G9.5III,0.001,-0.098,101.9,-2,-33.1358,320.4013,21,Cnc
3454,,Eta Hya,7,Eta,,24,Hya,8,43,13.5,N,3,23,55,4.3,-0.2,-0.74,B3V,-0.019,-0.001,,17,-14.4657,314.7451,15,Cnc
3459,,F Hya,,F,,24,Hya,8,43,40.4,S,7,14,1,4.62,0.84,0.49,G1Ib,-0.002,0.003,465.7,31,-24.6663,317.9787,18,Cnc
3469,,10 Hya,10,,,24,Hya,8,45,1.3,N,5,40,50,6.13,0.2,0.1,A6V,-0.001,-0.005,,-9,-12.147,314.5598,15,Cnc
3482,,Eps Hya,11,Eps,,24,Hya,8,46,46.6,N,6,25,8,3.38,0.68,0.36,G5III,-0.189,-0.051,120.7,36,-11.3199,314.786,15,Cnc
3484,,12 Hya,12,,,24,Hya,8,46,22.5,S,13,32,52,4.32,0.9,0.62,G8-III,0.016,-0.011,250.8,-8,-30.5136,320.7965,21,Cnc
3486,,HR 3486,,,,24,Hya,8,47,15,S,1,53,50,5.29,0.04,0.08,A3V,-0.033,0.004,163,2,-19.2941,317.2714,18,Cnc
3492,,Rho Hya,13,Rho,,24,Hya,8,48,26,N,5,50,16,4.36,-0.04,-0.04,A0Vn,-0.017,-0.034,232.9,33,-11.7704,315.3509,16,Cnc
3500,,14 Hya,14,,,24,Hya,8,49,21.7,S,3,26,35,5.31,-0.09,-0.35,B9p,-0.02,-0.023,,33,-20.6317,318.2739,19,Cnc
3523,,15 Hya,15,,,24,Hya,8,51,34.5,S,7,10,38,5.54,0.15,0.14,A4m,-0.044,0.001,296.4,37,-24.0515,320.0151,21,Cnc
3547,,Zet Hya,16,Zet,,24,Hya,8,55,23.6,N,5,56,44,3.11,1,0.8,G9II-III,-0.099,0.014,93.1,23,-11.196,317.0165,18,Cnc
3552,,17 Hya,17,,B,24,Hya,8,55,29.5,S,7,58,13,6.91,,,A7m,-0.001,-0.038,815,-20,-24.5231,321.2891,22,Cnc
3553,,17 Hya,17,,A,24,Hya,8,55,29.6,S,7,58,16,6.67,0.22,0.13,A2m,0.002,-0.024,815,-10,-24.5238,321.2899,22,Cnc
3613,,Ome Hya,18,Ome,,24,Hya,9,5,58.4,N,5,5,32,4.97,1.22,1.21,K2II-III,-0.018,-0.01,296.4,25,-11.2678,319.8352,20,Cnc
3630,,19 Hya,19,,,24,Hya,9,8,42.2,S,8,35,22,5.6,-0.06,-0.19,B9.5III,-0.019,-0.002,,23,-24.1082,324.9023,25,Cnc
3641,,20 Hya,20,,,24,Hya,9,9,35.5,S,8,47,16,5.46,1.01,0.78,G8II,-0.019,-0.01,,26,-24.2268,325.1993,26,Cnc
3655,,21 Hya,21,,,24,Hya,9,12,26,S,7,6,35,6.11,0.22,0.12,A3III:m+A0V,-0.016,0.019,,-4,-22.4117,325.34,26,Cnc
3665,,The Hya,22,The,,24,Hya,9,14,21.9,N,2,18,51,3.88,-0.06,-0.12,B9.5V,0.129,-0.31,120.7,-10,-13.2988,322.7296,23,Cnc
3681,,23 Hya,23,,,24,Hya,9,16,41.7,S,6,21,11,5.24,1.17,1.22,K2III,0.024,0.006,407.5,-8,-21.3568,326.1565,27,Cnc
3683,,24 Hya,24,,,24,Hya,9,16,41.3,S,8,44,41,5.47,-0.09,-0.3,B9III,-0.02,0.004,,10,-23.6218,326.9951,27,Cnc
3706,,26 Hya,26,,,24,Hya,9,19,46.4,S,11,58,30,4.79,0.93,0.64,G8III,-0.03,0.015,141.7,-2,-26.4194,328.9691,29,Cnc
3709,,27 Hya,27,,A,24,Hya,9,20,29,S,9,33,21,4.8,0.93,0.67,G8III-IV+F5V,-0.014,-0.029,148.2,25,-24.0801,328.2524,29,Cnc
3738,,28 Hya,28,,,24,Hya,9,25,24,S,5,7,3,5.59,1.52,1.82,K5III,-0.012,-0.008,,5,-19.4852,327.9085,28,Cnc
3744,,29 Hya,29,,,24,Hya,9,27,14.6,S,9,13,25,6.54,0.05,0.02,A2V,-0.029,0.001,,30,-23.2076,329.8411,30,Cnc
3748,Alphard,Alp Hya,30,Alp,,24,Hya,9,27,35.2,S,8,39,31,1.98,1.44,1.72,K3II-III,-0.014,0.033,148.2,-4,-22.6467,329.72,30,Cnc
3749,,HR 3749,,,,24,Hya,9,27,18.4,S,22,20,38,4.69,1.14,1.15,K2.5III,0.18,-0.161,108.7,29,-35.4621,335.2684,6,Leo
3750,,HR 3750,,,,24,Hya,9,27,46.8,S,6,4,16,5.38,0.64,0.13,G2V,-0.224,-0.074,85.8,54,-20.1906,328.8367,29,Cnc
3759,,Tau1 Hya,31,Tau1,,24,Hya,9,29,8.9,S,2,46,8,4.6,0.46,0,F6V,0.13,-0.015,45.3,10,-16.9581,328.025,29,Cnc
3787,,Tau2 Hya,32,Tau2,,24,Hya,9,31,58.9,S,1,11,6,4.57,0.1,0.09,A3V,-0.012,-0.011,120.7,6,-15.2283,328.1789,29,Cnc
3808,,HR 3808,,,,24,Hya,9,33,12.5,S,21,6,57,5.01,1.02,0.87,K0IV,-0.02,0.015,62.7,13,-33.8016,336.2332,7,Leo
3814,,33 Hya,33,,,24,Hya,9,34,32.7,S,5,54,54,5.56,1.16,1.13,K1III,0.011,-0.059,,13,-19.4786,330.4622,1,Leo
3832,,34 Hya,34,,,24,Hya,9,37,51.5,S,9,25,28,6.4,-0.04,-0.09,A1V,-0.062,0.002,,25,-22.4941,332.5785,3,Leo
3834,,HR 3834,,,,24,Hya,9,38,27.3,N,4,38,57,4.68,1.32,1.46,K3III,-0.163,-0.051,296.4,45,-9.1809,327.7822,28,Cnc
3845,,Iot Hya,35,Iot,,24,Hya,9,39,51.4,S,1,8,34,3.91,1.32,1.46,K2.5III-IIIb,0.049,-0.064,125.4,23,-14.534,330.0829,1,Leo
3846,,37 Hya,37,,,24,Hya,9,39,47.4,S,10,34,13,6.31,-0.03,-0.14,A0Vn,-0.024,0.005,,14,-23.4002,333.498,4,Leo
3849,,Kap Hya,38,Kap,,24,Hya,9,40,18.4,S,14,19,56,5.06,-0.15,-0.57,B5V,-0.027,-0.02,,18,-26.8693,335.1179,6,Leo
3858,,I Hya,,I,,24,Hya,9,41,17,S,23,35,30,4.77,-0.12,-0.58,B6Ve,-0.028,-0.004,,26,-35.3508,339.4854,10,Leo
3862,,HR 3862,,,,24,Hya,9,42,14.4,S,23,54,56,4.94,0.53,0,F9IV,-0.395,0.26,40.8,34,-35.5598,339.8896,10,Leo
3903,,Ups1 Hya,39,Ups1,,24,Hya,9,51,28.7,S,14,50,48,4.12,0.92,0.65,G7-III,0.017,-0.026,155.2,-15,-26.3431,338.1322,9,Leo
3919,,HR 3919,,,,24,Hya,9,54,12.3,S,25,55,57,4.88,1.23,1.3,K2+III-IIIb,-0.18,0.054,105.2,51,-36.2791,343.9525,14,Leo
3923,,HR 3923,,,,24,Hya,9,54,52.2,S,19,0,34,4.94,1.57,1.93,M1III,-0.047,-0.037,296.4,50,-29.8796,340.7828,11,Leo
3970,,Ups2 Hya,40,Ups2,,24,Hya,10,5,7.5,S,13,3,53,4.6,-0.09,-0.27,B9III-IV,-0.037,0.018,,28,-23.4315,340.766,11,Leo
3991,,HR 3991,,,,24,Hya,10,10,5.9,S,12,48,58,5.31,0.36,0,F5V,-0.125,-0.113,116.4,23,-22.7349,341.879,12,Leo
3994,,Lam Hya,41,Lam,,24,Hya,10,10,35.3,S,12,21,15,3.61,1.01,0.92,K0III,-0.202,-0.089,120.7,19,-22.2614,341.808,12,Leo
4094,,Mu Hya,42,Mu,,24,Hya,10,26,5.4,S,16,50,11,3.81,1.48,1.82,K4.5III,-0.128,-0.08,181.1,40,-24.9004,347.4773,18,Leo
4145,,44 Hya,44,,,24,Hya,10,34,0.9,S,23,44,43,5.08,1.6,1.82,K4III,-0.008,0.021,191.8,-4,-30.4076,352.611,23,Leo
4156,,Phi2 Hya,,Phi2,,24,Hya,10,36,16.7,S,16,20,40,6.03,1.65,1.86,M1III,-0.026,-0.001,,16,-23.4486,349.7051,20,Leo
4162,,HR 4162,,,,24,Hya,10,37,13.7,S,27,24,45,4.89,1.62,1.95,M2III,-0.109,0.024,326,17,-33.3863,355.2576,26,Leo
4163,,U Hya,,U,,24,Hya,10,37,33.2,S,13,23,4,4.82,2.68,5.78,C5II,0.034,-0.032,,-25,-20.6097,348.7314,19,Leo
4171,,Phi3 Hya,,Phi3,,24,Hya,10,38,35,S,16,52,36,4.91,0.92,0.68,G8III,-0.097,0.027,232.9,18,-23.7071,350.4901,21,Leo
4214,,HR 4214,,,,24,Hya,10,46,52,S,17,17,48,5.42,0.11,0.14,A3V,-0.02,-0.013,,-14,-23.265,352.6438,23,Leo
4232,,Nu Hya,,Nu,,24,Hya,10,49,37.5,S,16,11,37,3.11,1.25,1.3,K2III,0.094,0.2,116.4,-1,-21.9821,352.807,23,Leo
4251,,HR 4251,,,,24,Hya,10,53,29.5,S,20,8,20,5.24,0.47,0.06,F6V,0.078,-0.239,60.4,-5,-25.1847,355.4994,26,Leo
4314,,Chi1 Hya,,Chi1,,24,Hya,11,5,19.9,S,27,17,37,4.94,0.36,0.04,F3IV,-0.188,-0.004,75.8,17,-30.4295,1.7611,2,Vir
4317,,Chi2 Hya,,Chi2,,24,Hya,11,5,57.6,S,27,17,16,5.71,-0.06,-0.26,A0IV,0.034,-0.014,,30,-30.3602,1.9025,2,Vir
4334,,HR 4334,,,,24,Hya,11,8,43.9,S,28,4,50,5.44,0.07,0.06,A1V,-0.08,-0.016,296.4,16,-30.7858,2.9513,3,Vir
4449,,HR 4449,,,,24,Hya,11,32,54.1,S,31,5,14,5.04,1.58,1.95,M2IIIb,-0.03,0.006,171.6,19,-31.0005,9.9903,10,Vir
4450,,Xi Hya,,Xi,,24,Hya,11,33,0.1,S,31,51,28,3.54,0.94,0.71,G7III,-0.206,-0.04,120.7,-5,-31.6737,10.429,11,Vir
4494,,Omi Hya,,Omi,,24,Hya,11,40,12.8,S,34,44,41,4.7,-0.07,-0.22,B9V,-0.042,0,,6,-33.4955,13.614,14,Vir
4503,,HR 4503,,,,24,Hya,11,41,44,S,32,29,59,5.22,1.48,1.78,K5III+F7V,0.004,-0.042,217.3,34,-31.3608,12.6968,13,Vir
4532,,HR 4532,,,,24,Hya,11,48,45.1,S,26,44,59,5.11,1.6,1.67,M4+III,-0.032,-0.01,171.6,7,-25.5231,11.2891,12,Vir
4552,,Bet Hya,,Bet,,24,Hya,11,52,54.6,S,33,54,29,4.28,-0.1,-0.33,B9IIIp,-0.05,0.005,326,-1,-31.4887,15.8886,16,Vir
4558,,HR 4558,,,,24,Hya,11,54,42.5,S,25,42,50,5.3,0.88,0.53,G4III,0.048,0.081,101.9,-11,-23.9904,12.1123,13,Vir
4803,,HR 4803,,,,24,Hya,12,37,42.2,S,27,8,20,5.45,0.32,0.03,F1IV,0.076,-0.091,88.1,-1,-21.0346,22.1889,23,Vir
4839,,HR 4839,,,,24,Hya,12,44,0.5,S,28,19,26,5.48,1.34,1.5,K4III,-0.027,-0.038,,7,-21.509,24.0833,25,Vir
4958,,Psi Hya,45,Psi,,24,Hya,13,9,3.3,S,23,7,5,4.95,1.05,0.93,K1III,-0.024,-0.036,271.7,-19,-14.4092,27.2829,28,Vir
5020,,Gam Hya,46,Gam,,24,Hya,13,18,55.3,S,23,10,18,3,0.92,0.66,G8-IIIa,0.064,-0.045,120.7,-5,-13.5595,29.4593,30,Vir
5080,,R Hya,,R,,24,Hya,13,29,42.8,S,23,16,53,4.97,1.6,0.68,M7IIIe,-0.056,0.016,,-10,-12.6998,31.8575,2,Lib
5250,,47 Hya,47,,,24,Hya,13,58,31.1,S,24,58,20,5.15,-0.1,-0.4,B8VpShell,-0.049,-0.029,,5,-11.8439,38.7549,9,Lib
5257,,48 Hya,48,,,24,Hya,14,0,0.1,S,25,0,37,5.77,0.48,,F7V,-0.196,-0.091,112.4,-17,-11.7601,39.0902,10,Lib
5265,,HR 5265,,,,24,Hya,14,2,22.8,S,27,25,48,5.48,1.34,1.44,K3III,-0.033,-0.008,,0,-13.838,40.4781,11,Lib
5287,,Pi Hya,49,Pi,,24,Hya,14,6,22.3,S,26,40,57,3.27,1.12,1.04,K2-III-IIIb,0.044,-0.139,66.5,27,-12.8243,41.0649,12,Lib
5312,,50 Hya,50,,,24,Hya,14,12,46,S,27,15,40,5.08,1.16,1.13,K3III,-0.012,-0.034,67.9,27,-12.8753,42.6428,13,Lib
5381,,51 Hya,51,,,24,Hya,14,23,5.8,S,27,45,14,4.77,1.31,1.54,K4III,-0.193,-0.112,81.5,20,-12.5693,45.0262,16,Lib
5407,,52 Hya,52,,,24,Hya,14,28,10.4,S,29,29,30,4.97,-0.07,-0.41,B8V,-0.024,-0.023,,16,-13.8468,46.6958,17,Lib
5497,,54 Hya,54,,A,24,Hya,14,46,0.1,S,25,26,35,4.94,0.35,0.1,F2III-IV,-0.15,-0.104,66.5,-13,-8.764,49.228,20,Lib
5514,,55 Hya,55,,,24,Hya,14,47,22.5,S,25,37,28,5.63,,,A0IIIp,-0.008,-0.016,,-18,-8.845,49.5824,20,Lib
5516,,56 Hya,56,,,24,Hya,14,47,44.8,S,26,5,15,5.24,0.94,0.65,G5III,0.041,-0.007,95.9,-1,-9.2625,49.804,20,Lib
5517,,57 Hya,57,,,24,Hya,14,47,57.5,S,26,38,47,5.77,-0.02,-0.09,B9V,-0.013,-0.011,,6,-9.7822,50.0201,21,Lib
5526,,58 Hya,58,,,24,Hya,14,50,17.3,S,27,57,37,4.41,1.4,1.49,K4III,-0.241,-0.059,296.4,-10,-10.8843,50.9225,21,Lib
5577,,59 Hya,59,,,24,Hya,14,58,39.2,S,27,39,26,5.65,0.24,0.14,A4V+A6V,-0.042,-0.01,407.5,-10,-10.0591,52.6319,23,Lib
5591,,60 Hya,60,,,24,Hya,15,2,6.4,S,28,3,38,5.85,0.16,0.16,A4IV,0.085,-0.029,,8,-10.2316,53.4925,24,Lib
98,,Bet Hyi,,Bet,,84,Hyi,0,25,45.1,S,77,15,15,2.8,0.62,0.11,G2IV,2.215,0.324,21.3,23,-64.822,123.4126,4,Cap
236,,Lam Hyi,,Lam,,84,Hyi,0,48,35.4,S,74,55,24,5.07,1.37,1.68,K5III,0.13,-0.033,130.4,-9,-65.2667,129.7354,10,Cap
516,,Tau1 Hyi,,Tau1,,84,Hyi,1,41,21.3,S,79,8,54,6.33,0.94,0.69,G6-8III,0.052,0.009,,2,-69.0462,120.6859,1,Cap
550,,Tau2 Hyi,,Tau2,,84,Hyi,1,47,46.5,S,80,10,36,6.06,0.34,0.04,F0IV,-0.074,-0.071,,30,-69.305,117.7915,28,Sgr
570,,Eta2 Hyi,,Eta2,,84,Hyi,1,54,56.1,S,67,38,50,4.69,0.95,0.64,G8.5III,0.074,0.074,,-16,-67.3471,151.4698,2,Aqr
591,,Alp Hyi,,Alp,,84,Hyi,1,58,46.2,S,61,34,11,2.86,0.28,0.14,F0V,0.264,0.027,67.9,1,-64.5083,164.5593,15,Aqr
593,,Sig Hyi,,Sig,,84,Hyi,1,55,50.5,S,78,20,54,6.16,0.44,0.01,F5-6IV-V,0.096,0.06,,6,-69.7714,122.9518,3,Cap
667,,Pi1 Hyi,,Pi1,,84,Hyi,2,14,14.7,S,67,50,30,5.55,1.55,1.85,M1III,0.037,0.037,250.8,26,-69.1147,153.0407,4,Aqr
678,,Pi2 Hyi,,Pi2,,84,Hyi,2,15,28.5,S,67,44,47,5.69,1.3,1.48,K2III,0.035,-0.016,,17,-69.1859,153.4112,4,Aqr
705,,Del Hyi,,Del,,84,Hyi,2,21,44.9,S,68,39,34,4.09,0.03,0.05,A3V,-0.05,0.002,65.2,6,-70.0658,151.617,2,Aqr
715,,Kap Hyi,,Kap,,84,Hyi,2,22,52.3,S,73,38,45,5.01,1.09,1.04,K1III,-0.083,0.01,,22,-71.2571,137.1597,18,Cap
776,,Mu Hyi,,Mu,,84,Hyi,2,31,40.5,S,79,6,34,5.28,0.98,0.73,G8III,0.121,-0.056,3260,-15,-71.4341,120.1248,1,Cap
806,,Eps Hyi,,Eps,,84,Hyi,2,39,35.4,S,68,16,1,4.11,-0.06,-0.14,B9V,0.086,-0.002,,6,-71.4988,154.3547,5,Aqr
837,,Zet Hyi,,Zet,,84,Hyi,2,45,32.6,S,67,37,0,4.84,0.06,0.09,A2IV-V,0.069,0.046,362.2,4,-71.823,156.8513,7,Aqr
872,,Nu Hyi,,Nu,,84,Hyi,2,50,28.5,S,75,4,1,4.75,1.33,1.56,K3III,-0.037,-0.027,296.4,5,-73.1305,132.6585,13,Cap
939,,The Hyi,,The,,84,Hyi,3,2,15.4,S,71,54,9,5.53,-0.14,-0.51,B3V+A0IV,0.025,0.014,31.7,12,-74.0595,143.6826,24,Cap
1025,,Iot Hyi,,Iot,,84,Hyi,3,15,57.6,S,77,23,18,5.52,0.44,0,F4III,0.109,0.061,,19,-74.0876,123.5936,4,Cap
1208,,Gam Hyi,,Gam,,84,Hyi,3,47,14.3,S,74,14,20,3.24,1.62,1.99,M2III,0.047,0.114,652,16,-76.95,132.9138,13,Cap
7869,,Alp Ind,,Alp,,78,Ind,20,37,34,S,47,17,29,3.11,1,0.79,K0IIICNIII-IV,0.053,0.066,70.9,-1,-27.5997,121.5451,2,Cap
7920,,Eta Ind,,Eta,,78,Ind,20,44,2.3,S,51,55,16,4.51,0.27,0.09,A7III-IV,0.158,-0.058,66.5,-2,-32.3322,121.1113,2,Cap
7952,,Zet Ind,,Zet,,78,Ind,20,49,29,S,46,13,37,4.89,1.52,1.87,K5III,0.04,0.024,271.7,-5,-27.1667,124.0977,5,Cap
7968,,Iot Ind,,Iot,,78,Ind,20,51,30.1,S,51,36,30,5.05,1.13,1.05,K1II-III,0.007,-0.014,3260,21,-32.3914,122.5278,3,Cap
7986,,Bet Ind,,Bet,,78,Ind,20,54,48.6,S,58,27,15,3.65,1.25,1.23,K1II,0.017,-0.026,,-5,-39.0069,120.2266,1,Cap
8055,,Mu Ind,,Mu,,78,Ind,21,5,14.2,S,54,43,38,5.16,1.21,1.22,K2III,0.01,-0.046,141.7,12,-36.0167,123.5944,4,Cap
8140,,The Ind,,The,,78,Ind,21,19,52,S,53,26,59,4.39,0.19,0.12,A5V,0.105,-0.072,75.8,-15,-35.6011,126.6389,7,Cap
8188,,Gam Ind,,Gam,,78,Ind,21,26,15.4,S,54,39,38,6.12,0.34,0.04,F1III,0.004,0.036,,7,-37.0786,127.1389,8,Cap
8333,,Omi Ind,,Omi,,78,Ind,21,50,47.1,S,69,37,46,5.53,1.37,1.63,K2-3III,-0.031,-0.002,112.4,20,-51.6845,120.866,1,Cap
8362,,Pi Ind,,Pi,,78,Ind,21,56,14,S,57,53,58,6.19,0.21,0.15,Am,0.016,0.011,,7,-41.7791,130.2383,11,Cap
8368,,Del Ind,,Del,,78,Ind,21,57,55.1,S,54,59,33,4.4,0.28,0.1,F0IV,0.048,-0.007,163,15,-39.2835,132.243,13,Cap
8369,,Kap1 Ind,,Kap1,,78,Ind,21,58,30.1,S,59,0,44,6.12,0.46,-0.02,F3V,0.005,0.026,,40,-42.9056,129.8938,10,Cap
8387,,Eps Ind,,Eps,,78,Ind,22,3,21.6,S,56,47,10,4.69,1.06,0.99,K4-5V,3.961,-2.538,11.4,-40,-41.2335,132.0677,13,Cap
8409,,Kap2 Ind,,Kap2,,78,Ind,22,5,50.9,S,59,38,10,5.62,1.46,1.81,K4III,0.048,-0.056,,-11,-43.9053,130.6181,11,Cap
8515,,Nu Ind,,Nu,,78,Ind,22,24,36.8,S,72,15,20,5.29,0.65,-0.06,A3V:+F9V,1.299,-0.678,105.2,21,-55.4525,121.9806,2,Cap
8701,,Rho Ind,,Rho,,78,Ind,22,54,39.4,S,70,4,25,6.05,0.66,0.24,G2-3IV,-0.05,0.072,,-3,-55.4291,127.7411,8,Cap
8424,,HR 8424,,,,55,Lac,22,6,2,N,45,0,52,5.14,1.57,1.94,K5III,-0.007,-0.016,543.3,-23,51.8137,179.8553,30,Aqr
8463,,HR 8463,,,,55,Lac,22,11,9.9,N,50,49,24,5.4,0.15,0.05,A5V,0.139,0.041,407.5,-8,55.9663,186.8533,7,Psc
8485,,HR 8485,,,,55,Lac,22,13,52.7,N,39,42,54,4.49,1.39,1.45,K3III,0.038,0.013,163,-11,46.5541,177.3697,28,Aqr
8498,,1 Lac,1,,,55,Lac,22,15,58.2,N,37,44,56,4.13,1.46,1.63,K3-II-III,0.013,0.004,1086.7,-8,44.6491,176.4494,27,Aqr
8523,,2 Lac,2,,,55,Lac,22,21,1.6,N,46,32,12,4.57,-0.1,-0.51,B6V,0.023,0.005,81.5,-10,51.5483,184.6915,5,Psc
8538,,Bet Lac,3,Bet,,55,Lac,22,23,33.6,N,52,13,45,4.43,1.02,0.77,G8.5IIIb,-0.013,-0.186,155.2,-10,55.8039,191.0732,12,Psc
8541,,4 Lac,4,,,55,Lac,22,24,31,N,49,28,35,4.57,0.09,-0.34,B9Iab,-0.007,-0.003,1086.7,-26,53.5611,188.314,9,Psc
8572,,5 Lac,5,,,55,Lac,22,29,31.8,N,47,42,25,4.36,1.68,1.11,M0II+B8V,0.002,0,543.3,-4,51.6381,187.666,8,Psc
8579,,6 Lac,6,,,55,Lac,22,30,29.3,N,43,7,24,4.51,-0.09,-0.74,B2IV,-0.001,-0.005,,-8,47.764,183.8806,4,Psc
8585,,Alp Lac,7,Alp,,55,Lac,22,31,17.5,N,50,16,57,3.77,0.01,0,A1V,0.138,0.019,81.5,-4,53.5152,190.5841,11,Psc
8603,,8 Lac,8,,A,55,Lac,22,35,52.3,N,39,38,3,5.73,-0.15,-0.9,B2Ve,0.005,-0.006,,-10,44.2597,182.4528,3,Psc
8613,,9 Lac,9,,,55,Lac,22,37,22.4,N,51,32,43,4.63,0.24,0.1,A8IV,-0.054,-0.101,148.2,12,53.893,193.166,14,Psc
8622,,10 Lac,10,,,55,Lac,22,39,15.7,N,39,3,1,4.88,-0.2,-1.04,O9V,0.001,-0.005,,-10,43.4146,182.8144,3,Psc
8632,,11 Lac,11,,,55,Lac,22,40,30.9,N,44,16,35,4.46,1.33,1.36,K2+III-IIIb,0.094,0.012,326,-10,47.7103,187.0608,8,Psc
8640,,12 Lac,12,,,55,Lac,22,41,28.6,N,40,13,32,5.25,-0.14,-0.87,B2III,-0.005,-0.001,,-15,44.1959,184.1568,5,Psc
8656,,13 Lac,13,,,55,Lac,22,44,5.5,N,41,49,9,5.08,0.96,0.78,K0III,-0.007,0.004,326,13,45.2847,185.9228,6,Psc
8688,,HR 8688,,,,55,Lac,22,49,46.2,N,55,54,10,5.43,1.17,1.12,K1III,0.083,0.043,,-36,55.9718,200.4965,21,Psc
8690,,14 Lac,14,,,55,Lac,22,50,21.8,N,41,57,13,5.92,0.08,-0.51,B3IV:,0.01,0,,-14,44.7619,187.4166,8,Psc
8699,,15 Lac,15,,,55,Lac,22,52,2,N,43,18,45,4.94,1.56,1.94,M0III,0.11,0.029,155.2,-17,45.7377,188.8185,9,Psc
8725,,16 Lac,16,,,55,Lac,22,56,23.6,N,41,36,14,5.59,-0.14,-0.83,B2IV,-0.002,0,,-7,43.8541,188.4852,9,Psc
8726,,HR 8726,,,,55,Lac,22,56,26,N,49,44,1,4.95,1.78,1.96,K5Ib,0.003,-0.002,,-10,50.5638,195.2333,16,Psc
8731,,HR 8731,,,,55,Lac,22,57,4.5,N,48,41,3,5.43,-0.09,-0.53,B4IIIep,0.012,-0.009,,-22,49.6569,194.3942,15,Psc
3731,,Kap Leo,1,Kap,,12,Leo,9,24,39.3,N,26,10,56,4.46,1.23,1.31,K2III,-0.033,-0.048,,28,10.2019,317.7372,18,Cnc
3754,,Ome Leo,2,Ome,,12,Leo,9,28,27.5,N,9,3,24,5.41,0.6,0.14,F9V,0.055,-0.004,95.9,-6,-5.8003,323.9843,24,Cnc
