 HR,Name,ID,#,Ltr,Dbl,Con#,Con,RA,RAm,RAs,,Dec,Dm,Ds,Vmag,B-V,U-B,Sp Type,pmRA,pmD,Distance,RV,Sid Lat,Sid Lon,Zod lon,Zod
8199,,21 Aqr,21,,,6,Aqr,21,25,17,S,3,33,24,5.49,1.46,1.82,K4III,-0.008,-0.065,,-24,11.2731,144.9829,25,Cap
8232,Sadalsuud,Bet Aqr,22,Bet,,6,Aqr,21,31,33.5,S,5,34,16,2.91,0.83,0.56,G0Ib,0.021,-0.008,543.3,7,8.8649,145.8359,26,Cap
8264,,Xi Aqr,23,Xi,,6,Aqr,21,37,45.1,S,7,51,15,4.69,0.17,0.13,A7V,0.116,-0.025,271.7,-21,6.2056,146.5594,27,Cap
8277,,25 Aqr,25,,,6,Aqr,21,39,33.3,N,2,14,37,5.1,1.04,0.9,K0III,-0.026,-0.082,543.3,-35,15.597,150.3929,1,Aqr
8287,,26 Aqr,26,,,6,Aqr,21,42,10.1,N,1,17,7,5.67,1.44,1.67,K2III,0.001,-0.007,,10,14.4731,150.6937,1,Aqr
8390,,28 Aqr,28,,,6,Aqr,22,1,5,N,0,36,18,5.58,1.28,1.4,gK4,0.01,-0.013,,7,12.1902,155.0069,6,Aqr
8396,,29 Aqr,29,,A,6,Aqr,22,2,26.6,S,16,57,51,6.37,0.42,,A2V+K0III,0.015,0.001,543.3,15,-4.414,149.1757,30,Cap
8401,,30 Aqr,30,,,6,Aqr,22,3,16.4,S,6,31,21,5.54,0.96,0.73,K0III,0.045,0.006,,30,5.3157,152.9976,3,Aqr
8402,,Omi Aqr,31,Omi,,6,Aqr,22,3,18.9,S,2,9,19,4.69,-0.06,-0.41,B7IVe,0.028,-0.012,,12,9.4065,154.5485,5,Aqr
8410,,32 Aqr,32,,,6,Aqr,22,4,47.4,S,0,54,24,5.3,0.23,0.15,A5m,-0.015,-0.052,232.9,20,10.4444,155.3455,6,Aqr
8414,Sadalmelik,Alp Aqr,34,Alp,,6,Aqr,22,5,47,S,0,19,11,2.96,0.98,0.74,G2Ib,0.02,-0.01,271.7,8,10.9047,155.7933,6,Aqr
8418,,Iot Aqr,33,Iot,,6,Aqr,22,6,26.2,S,13,52,11,4.27,-0.07,-0.29,B9IV-V,0.042,-0.056,,-10,-1.8497,151.1607,2,Aqr
8439,,35 Aqr,35,,,6,Aqr,22,8,59,S,18,31,11,5.81,-0.17,,B2.5IV,0.003,-0.012,,-5,-6.4232,150.0922,1,Aqr
8452,,38 Aqr,38,,,6,Aqr,22,10,37.5,S,11,33,54,5.46,-0.12,,B7III,0.036,0.009,,3,-0.053,152.9279,3,Aqr
8462,,39 Aqr,39,,,6,Aqr,22,12,25.8,S,14,11,38,6.03,0.38,0,F2V,0.028,-0.042,,15,-2.671,152.4078,3,Aqr
8480,,41 Aqr,41,,,6,Aqr,22,14,18,S,21,4,27,5.32,0.8,0.43,K0III+F2V,0.016,0.066,203.8,-24,-9.2627,150.3488,1,Aqr
8496,,42 Aqr,42,,,6,Aqr,22,16,48.1,S,12,49,53,5.34,1.14,1.07,gK0,0.015,0.006,,13,-1.7806,153.888,4,Aqr
8499,Ancha,The Aqr,43,The,,6,Aqr,22,16,50,S,7,47,0,4.16,0.98,0.81,G8III-IV,0.121,-0.022,155.2,-15,2.9334,155.7043,6,Aqr
8504,,44 Aqr,44,,,6,Aqr,22,17,6.5,S,5,23,14,5.75,0.88,0.51,G6III,-0.002,0.02,,7,5.1466,156.6305,7,Aqr
8508,,45 Aqr,45,,,6,Aqr,22,19,0.8,S,13,18,18,5.95,1.06,0.94,gG7,0.079,-0.012,,30,-2.4188,154.2208,5,Aqr
8512,,Rho Aqr,46,Rho,,6,Aqr,22,20,11.9,S,7,49,16,5.37,-0.06,-0.37,B8IIIp,0.016,-0.001,,-9,2.5944,156.4691,7,Aqr
8516,,47 Aqr,47,,,6,Aqr,22,21,35.6,S,21,35,54,5.13,1.07,0.92,K2III,-0.008,-0.085,217.3,49,-10.3777,151.7608,2,Aqr
8518,Sadachbia,Gam Aqr,48,Gam,,6,Aqr,22,21,39.4,S,1,23,14,3.84,-0.05,-0.12,A0V,0.132,0.007,70.9,-15,8.4603,159.1551,10,Aqr
8529,,49 Aqr,49,,,6,Aqr,22,23,30.9,S,24,45,45,5.53,0.99,0.8,gG9,0.103,0,,-11,-13.4849,150.9803,1,Aqr
8533,,51 Aqr,51,,,6,Aqr,22,24,6.9,S,4,50,13,5.78,-0.04,-0.11,A0V,0.033,-0.004,543.3,6,5.0192,158.4626,9,Aqr
8534,,50 Aqr,50,,,6,Aqr,22,24,27.1,S,13,31,46,5.76,0.97,0.71,G6.5III,0.053,0.012,,-21,-3.1137,155.3737,6,Aqr
8539,,Pi Aqr,52,Pi,,6,Aqr,22,25,16.6,N,1,22,39,4.66,-0.03,-0.98,B1Ve,0.019,0.001,,4,10.6949,161.0389,12,Aqr
8544,,53 Aqr,53,,B,6,Aqr,22,26,34.2,S,16,44,29,6.57,,,G2V,0.262,-0.013,57.2,-3,-6.2949,154.6717,5,Aqr
8545,,53 Aqr,53,,A,6,Aqr,22,26,34.4,S,16,44,33,6.35,0.61,0.09,G1V,0.223,-0.003,57.2,-6,-6.2962,154.672,5,Aqr
8558,,Zet1 Aqr,55,Zet1,B,6,Aqr,22,28,49.7,S,0,1,13,4.59,,,F6IV,0.181,0.009,148.2,29,9.0616,161.3496,12,Aqr
8559,,Zet2 Aqr,55,Zet2,A,6,Aqr,22,28,50.1,S,0,1,12,4.42,0.38,-0.01,F3V,0.209,0.042,148.2,25,9.0612,161.3513,12,Aqr
8567,,56 Aqr,56,,,6,Aqr,22,30,17.4,S,14,35,9,6.37,-0.04,-0.37,B8Vs,0.039,-0.039,,-27,-4.6241,156.306,7,Aqr
8573,,Sig Aqr,57,Sig,,6,Aqr,22,30,38.8,S,10,40,41,4.82,-0.06,-0.11,A0IVs,0.003,-0.03,155.2,11,-1.0212,157.8288,8,Aqr
8583,,58 Aqr,58,,,6,Aqr,22,31,41.3,S,10,54,20,6.38,0.28,0.07,A8III,0.075,-0.045,,4,-1.3286,157.9828,8,Aqr
8590,,60 Aqr,60,,,6,Aqr,22,34,2.9,S,1,34,27,5.89,0.99,0.73,G6III,0.036,-0.04,,-8,7.1249,161.9889,12,Aqr
8592,,Ups Aqr,59,Ups,,6,Aqr,22,34,41.6,S,20,42,30,5.2,0.44,0,F4IV,0.222,-0.145,70.9,-2,-10.7064,154.9831,5,Aqr
8597,,Eta Aqr,62,Eta,,6,Aqr,22,35,21.4,S,0,7,3,4.02,-0.09,-0.26,B9IV-Vn,0.091,-0.056,130.4,-8,8.3523,162.8441,13,Aqr
8610,Situla,Kap Aqr,63,Kap,,6,Aqr,22,37,45.4,S,4,13,41,5.03,1.14,1.16,K2III,-0.067,-0.12,171.6,8,4.3097,161.8572,12,Aqr
8647,,67 Aqr,67,,,6,Aqr,22,43,14.3,S,6,57,46,6.41,-0.04,-0.11,A0Vn,0.03,-0.008,,2,1.2524,162.0979,13,Aqr
8649,,66 Aqr,66,,,6,Aqr,22,43,35.3,S,18,49,49,4.69,1.37,1.56,K4III,-0.027,-0.028,250.8,22,-9.7758,157.6764,8,Aqr
8670,,68 Aqr,68,,,6,Aqr,22,47,33.1,S,19,36,48,5.26,0.94,0.59,G7III,-0.101,-0.204,95.9,23,-10.865,158.2499,9,Aqr
8673,,Tau1 Aqr,69,Tau1,,6,Aqr,22,47,42.8,S,14,3,23,5.66,-0.05,-0.25,A0V,0.032,-0.009,,15,-5.7427,160.4354,11,Aqr
